YEAR,QUARTER_OF_YEAR,NUMBER_OF_FIRES,,AVERAGE_FIRE_SIZE,AVERAGE_PALMER_INDEX
1992,First,11788,,10.869168646080759,1.183333333
1992,Second,25090,,13.874407772020726,1.183333333
1992,Third,22403,,64.10889032718832,1.183333333
1992,Fourth,8694,,33.06784909132735,1.183333333
1993,First,8104,,10.640678677196446,4.370833333
1993,Second,18262,,21.21043658963969,4.370833333
1993,Third,23302,,60.257934512059045,4.370833333
1993,Fourth,12321,,25.48401590779969,4.370833333
1994,First,10487,,16.358699342042527,2.144166667
1994,Second,27838,,19.873089482003014,2.144166667
1994,Third,26904,,113.0783692016057,2.144166667
1994,Fourth,10726,,32.59689903039344,2.144166667
1995,First,10662,,15.259652973175765,2.795833333
1995,Second,26051,,14.940537023530766,2.795833333
1995,Third,20515,,53.922527321472096,2.795833333
1995,Fourth,14244,,27.48175091266498,2.795833333
1996,First,15485,,30.459881175330967,2.795833333
1996,Second,26232,,32.82076391430314,2.795833333
1996,Third,24873,,171.56115627387126,2.795833333
1996,Fourth,8984,,45.11236976847729,2.795833333
1997,First,7606,,16.89100972916119,4.301666667
1997,Second,24806,,19.021708457631217,4.301666667
1997,Third,17923,,135.00323271773698,4.301666667
1997,Fourth,11115,,17.51208726945569,4.301666667
1998,First,6986,,9.962290294875466,1.55
1998,Second,19105,,22.105143156241823,1.55
1998,Third,26403,,47.35313146233383,1.55
1998,Fourth,15876,,16.938923533005795,1.55
1999,First,13747,,12.922864486797119,-0.145
1999,Second,27615,,30.164221618323374,-0.145
1999,Third,25600,,157.6457263,-0.145
1999,Fourth,22401,,46.15122205258694,-0.145
2000,First,18048,,20.191302637411347,-4.438333333
2000,Second,27658,,30.626928411309567,-4.438333333
2000,Third,33560,,165.09785104290822,-4.438333333
2000,Fourth,17150,,51.73892402332362,-4.438333333
2001,First,14928,,13.861684753483388,-2.87
2001,Second,25619,,21.42040985206292,-2.87
2001,Third,24164,,100.71919789769905,-2.87
2001,Fourth,21876,,24.437598098372643,-2.87
2002,First,15331,,12.29307762050747,-2.06
2002,Second,25212,,58.91676071,-2.06
2002,Third,26014,,190.57607149069733,-2.06
2002,Fourth,9099,,18.87437410704473,-2.06
2003,First,9524,,10.837068143637127,0.583333333
2003,Second,21782,,24.493444384354053,0.583333333
2003,Third,24712,,115.16680135925867,0.583333333
2003,Fourth,12243,,81.74814244792942,0.583333333
2004,First,9994,,11.74514808885331,1.310833333
2004,Second,29428,,19.65409409304064,1.310833333
2004,Third,22281,,331.28097581661507,1.310833333
2004,Fourth,7576,,20.74644416578669,1.310833333
2005,First,14249,,19.877251385360378,0.093333333
2005,Second,29135,,26.626330428007552,0.093333333
2005,Third,24093,,327.5453034,0.093333333
2005,Fourth,21127,,33.82245666682444,0.093333333
2006,First,21496,,38.82545529354299,-2.205833333
2006,Second,43167,,56.98682076470452,-2.205833333
2006,Third,37144,,159.82832951782254,-2.205833333
2006,Fourth,12197,,66.59771755349676,-2.205833333
2007,First,15022,,15.901484488749833,-1.644166667
2007,Second,34967,,39.42965383390054,-1.644166667
2007,Third,30161,,220.9737149481118,-1.644166667
2007,Fourth,15423,,63.738034493937626,-1.644166667
2008,First,15346,,60.05505034210869,0.351666667
2008,Second,27974,,44.57323121934653,0.351666667
2008,Third,28622,,103.58604620222206,0.351666667
2008,Fourth,13436,,20.333128877642157,0.351666667
2009,First,16621,,20.555344177666807,1.251666667
2009,Second,29320,,54.318294816166436,1.251666667
2009,Third,22996,,169.4006779218125,1.251666667
2009,Fourth,9388,,24.21871939039199,1.251666667
2010,First,9685,,14.787828033040784,3.053333333
2010,Second,26130,,41.381091381171075,3.053333333
2010,Third,22962,,81.84028837644804,3.053333333
2010,Fourth,21112,,18.46014028514589,3.053333333
2011,First,17837,,39.59315024948141,-0.158333333
2011,Second,24985,,192.33481578947368,-0.158333333
2011,Third,31556,,97.54607776651032,-0.158333333
2011,Fourth,16174,,63.912752813156914,-0.158333333
2012,First,10195,,15.836640117704757,-4.0025
2012,Second,21733,,44.828361247871904,-4.0025
2012,Third,27424,,275.04723585180864,-4.0025
2012,Fourth,13417,,56.74023514943728,-4.0025
2013,First,8052,,7.279922293840039,-0.226666667
2013,Second,23489,,40.245249180467454,-0.226666667
2013,Third,22208,,151.76786916876802,-0.226666667
2013,Fourth,11031,,10.706462161182124,-0.226666667
2014,First,12163,,11.873216903724408,1.2325
2014,Second,25366,,37.48438480304344,1.2325
2014,Third,19951,,117.9693434664929,1.2325
2014,Fourth,10273,,21.86714485525163,1.2325
2015,First,11043,,15.625761025083765,1.17
2015,Second,25156,,24.087817327874063,1.17
2015,Third,23481,,380.96139087347217,1.17
2015,Fourth,14811,,33.380918709067586,1.17